// Psy-Q SDK functions, written by tools/gen_sdk.py.
//
// These are linked in from Sony's libraries and must not be
// decompiled, so tools/progress.py leaves them out of the
// totals and reports them separately. Read the tool's
// docstring for how a function ends up here. A row that is
// wrong is game code being written off - fix it there.
//
// target  address   size  name
main     80019CFC     76  SEQREAD_OBJ_650
main     80019D48     92  SEQREAD_OBJ_69C
main     80019DA4     44  SEQREAD_OBJ_6F8
main     80019DD0     32  SEQREAD_OBJ_724
main     80019DF0     20  SEQREAD_OBJ_744
main     80019E04     32  SEQREAD_OBJ_758
main     80019E24     32  SEQREAD_OBJ_778
main     80019E44     32  SEQREAD_OBJ_798
main     80019E64     32  SEQREAD_OBJ_7B8
main     80019E84     28  SEQREAD_OBJ_7D8
main     80019EA0      4  SEQREAD_OBJ_7F4
main     80019EA4     12  SEQREAD_OBJ_7F8
main     80019EB0     12  SEQREAD_OBJ_804
main     80019EBC     44  SEQREAD_OBJ_810
main     80019EE8    312  _SsContModulation
main     8001A020    312  _SsContPortaTime
main     8001A158    236  _SsContPortamento
main     8001A244    120  SEQREAD_OBJ_B98
main     8001A2BC    200  _SsContResetAll
main     8001A384    172  _SsContNrpn1
main     8001A430    132  SEQREAD_OBJ_D84
main     8001A4B4    264  _SsContNrpn2
main     8001A5BC     28  SEQREAD_OBJ_F10
main     8001A5D8     12  SEQREAD_OBJ_F2C
main     8001A5E4     20  SEQREAD_OBJ_F38
main     8001A5F8    120  _SsContRpn1
main     8001A670    120  _SsContRpn2
main     8001A6E8    456  _SsContDataEntry
main     8001A8B0    176  SEQREAD_OBJ_1204
main     8001A960    136  SEQREAD_OBJ_12B4
main     8001AC18     32  SEQREAD_OBJ_156C
main     8001AC48     12  SEQREAD_OBJ_159C
main     8001AC54     52  SEQREAD_OBJ_15A8
main     8001AC88    148  _SsSndSetVabAttr
main     8001AD1C      8  SEQREAD_OBJ_1670
main     8001AD24    112  SEQREAD_OBJ_1678
main     8001AD94      8  SEQREAD_OBJ_16E8
main     8001AD9C      4  SEQREAD_OBJ_16F0
main     8001ADA0     40  SEQREAD_OBJ_16F4
main     8001ADC8     64  SEQREAD_OBJ_171C
main     8001AE08     12  SEQREAD_OBJ_175C
main     8001AE14     16  SEQREAD_OBJ_1768
main     8001AE24      8  SEQREAD_OBJ_1778
main     8001AE2C      8  SEQREAD_OBJ_1780
main     8001AE34     12  SEQREAD_OBJ_1788
main     8001AE40     16  SEQREAD_OBJ_1794
main     8001AE50     12  SEQREAD_OBJ_17A4
main     8001AE5C     16  SEQREAD_OBJ_17B0
main     8001AE6C     52  SEQREAD_OBJ_17C0
main     8001AEA0      8  SEQREAD_OBJ_17F4
main     8001AEA8      4  SEQREAD_OBJ_17FC
main     8001AEAC     60  SEQREAD_OBJ_1800
main     8001AEE8     16  SEQREAD_OBJ_183C
main     8001AEF8     20  SEQREAD_OBJ_184C
main     8001AF0C     16  SEQREAD_OBJ_1860
main     8001AF1C      8  SEQREAD_OBJ_1870
main     8001AF24     40  SEQREAD_OBJ_1878
main     8001AF4C    172  _SsSetPitchBend
main     8001AFF8    480  _SsGetMetaEvent
main     8001B1D8     28  SEQREAD_OBJ_1B2C
main     8001B330     28  SEQREAD_OBJ_1C84
main     8001B34C    176  _SsReadDeltaValue
main     8001B3FC      8  SEQREAD_OBJ_1D50
main     8001B404     92  _SsUtResolveADSR
main     8001B460    140  _SsUtBuildADSR
main     8001B4EC    264  _SsSndNextSep
main     8001B5F4    320  SsSetTempo
main     8001B734     12  SSADD_OBJ_140
main     8001B740     72  SsSetLoop
main     8001B788     72  SsIsEos
main     8001B7D0     40  SsSetMarkCallback
main     8001B7F8    380  _SsClose
main     8001B974     36  SsSetNck
main     8001B998     36  SsSepClose
main     8001B9BC    232  _SsInit
main     8001BAA4     48  SsInit
main     8001BAF4     32  SsQuit
main     8001BB14    124  SpuQuit
main     8001BB90    224  _SsStart
main     8001BC70    164  SSSTART_OBJ_E0
main     8001BD14      8  SSSTART_OBJ_184
main     8001BD1C    180  SSSTART_OBJ_18C
main     8001BDD0      8  SSSTART_OBJ_240
main     8001BDD8      8  SSSTART_OBJ_248
main     8001BDE0     24  SSSTART_OBJ_250
main     8001BDF8     32  SsStart
main     8001BE18     32  SsStart2
main     8001BE38     64  _SsTrapIntrVSync
main     8001BE78     64  _SsSeqCalledTbyT_1per2
main     8001BEB8     16  SSSTART_OBJ_328
main     8001BEC8    628  SsSeqCalledTbyT
main     8001C13C    488  _SsSndCrescendo
main     8001C324     16  CRES_OBJ_1E8
main     8001C370    168  CRES_OBJ_234
main     8001C418    436  _SsSndDecrescendo
main     8001C5CC     16  DECRE_OBJ_1B4
main     8001C620    164  DECRE_OBJ_208
main     8001C6C4    160  _SsSndPause
main     8001C764     44  _SsSndPlay
main     8001C790    104  _SsSndReplay
main     8001C7F8     80  SsSetTickMode
main     8001C848     64  SSTICK_OBJ_50
main     8001C880     40  SSTICK_OBJ_88
main     8001C8A8     40  SSTICK_OBJ_B0
main     8001C8D0     20  SSTICK_OBJ_D8
main     8001C8E4     20  SSTICK_OBJ_EC
main     8001C8F8     24  SSTICK_OBJ_100
main     8001C910     40  SSTICK_OBJ_118
main     8001C938     16  SSTICK_OBJ_140
main     8001C950     20  SSTICK_OBJ_158
main     8001C964    140  SsEnd
main     8001C9F0     36  SSEND_OBJ_8C
main     8001CA14    480  SsSetTableSize
main     8001CBF4    216  _SsSndSetPauseMode
main     8001CCCC     40  SsSeqPause
main     8001CCF4     44  SsSepPause
main     8001CD20    240  Snd_SetPlayMode
main     8001CE10     16  SSPLAY_OBJ_F0
main     8001CE20     56  SsSeqPlay
main     8001CE58     56  SsSepPlay
main     8001CE90    196  SsPlayBack
main     8001CF54    164  _SsSndSetReplayMode
main     8001CFF8     40  SsSeqReplay
main     8001D020     44  SsSepReplay
main     8001D04C    284  _SsSndSetRit
main     8001D168      4  SSRIT_OBJ_11C
main     8001D16C    116  SSRIT_OBJ_120
main     8001D1E0     52  SsSeqSetRitardando
main     8001D214     44  SsSepSetRitardando
main     8001D240     56  _SsSndSetVol
main     8001D278     48  SsSeqSetVol
main     8001D2A8     56  SsSepSetVol
main     8001D2E0     52  SsSeqGetVol
main     8001D314    364  _SsSndStop
main     8001D480     40  SsSeqStop
main     8001D4A8     44  SsSepStop
main     8001D4D4    220  _SsSndTempo
main     8001D5B0     12  TEMPO_OBJ_DC
main     8001D5BC    244  TEMPO_OBJ_E8
main     8001D6B0    200  _SsSndSetVolData
main     8001D778      8  VOL_OBJ_C8
main     8001D780    208  _SsSndSetCres
main     8001D850    112  VOL_OBJ_1A0
main     8001D8C0     52  SsSeqSetCrescendo
main     8001D8F4     52  SsSepSetCrescendo
main     8001D928    208  _SsSndSetDecres
main     8001D9F8    112  VOL_OBJ_348
main     8001DA68     52  SsSeqSetDecrescendo
main     8001DA9C     52  SsSepSetDecrescendo
main     8001DAD0     20  SsSetMono
main     8001DAE4     16  SsSetStereo
main     8001DAF4    132  SsVabClose
main     8001DB78     88  SsVabOpen
main     8001DBD0    100  SpuFree
main     8001DC34     24  S_M_F_OBJ_64
main     8001DC4C     80  _spu_gcSPU
main     8001DC9C    112  S_M_INT_OBJ_50
main     8001DD0C    432  S_M_INT_OBJ_C0
main     8001DEBC    144  S_M_INT_OBJ_270
main     8001DF4C     52  SsVabOpenHead
main     8001DF80     52  SsVabOpenHeadSticky
main     8001DFB4     52  SsVabFakeHead
main     8001DFE8    244  SsVabOpenHeadWithMode
main     8001E0DC     16  VS_VH_OBJ_190
main     8001E0EC    504  VS_VH_OBJ_1A0
main     8001E2E4     40  VS_VH_OBJ_398
main     8001E338     84  
main     8001E38C    140  VS_VH_OBJ_440
main     8001E3C4     44  VS_VH_OBJ_478
main     8001E3F0     84  SpuMalloc
main     8001E418     44  
main     8001E444    216  S_M_M_OBJ_54
main     8001E51C    380  S_M_M_OBJ_12C
main     8001E698     32  S_M_M_OBJ_2A8
main     8001E6B8     44  FUN_8001e6b8
main     8001E6E4     16  FUN_8001e6e4
main     8001E6F4    160  SsVabTransBody
main     8001E794     32  VS_VTB_OBJ_A0
main     8001E7B4     96  SpuRead
main     8001E814     28  SpuSetTransferMode
main     8001E830     24  S_STM_OBJ_1C
main     8001E848    316  SsVabTransBodyPartly
main     8001E984     36  VS_VTBP_OBJ_13C
main     8001E9A8    140  SpuWritePartly
main     8001EA34     44  SsVabTransCompleted
main     8001EA60    136  SpuIsTransferCompleted
main     8001EAE8      8  S_ITC_OBJ_88
main     8001EAF0     24  S_ITC_OBJ_90
main     8001EB08     16  FUN_8001eb08
main     8001EB18     20  FUN_8001eb18
main     8001EB2C    240  SsUtGetProgAtr
main     8001EC1C     24  UT_GPA_OBJ_F0
main     8001EC34    188  SpuVmVSetUp
main     8001ECF0      8  VM_VSU_OBJ_BC
main     8001ECF8    548  SsUtGetVagAtr
main     8001EF1C     24  UT_GVA_OBJ_224
main     8001EF34     80  SsUtSetReverbType
main     8001EF84     60  UT_REV_OBJ_50
main     8001EFC4     20  UT_REV_OBJ_90
main     8001EFD8     16  SsUtGetReverbType
main     8001EFE8    176  SpuSetReverb
main     8001F098      4  S_SR_OBJ_B0
main     8001F09C     28  S_SR_OBJ_B4
main     8001F0B8     24  _SpuIsInAllocateArea
main     8001F0D0     88  S_M_UTIL_OBJ_18
main     8001F128     36  _SpuIsInAllocateArea_
main     8001F14C     84  S_M_UTIL_OBJ_94
main     8001F1A0    368  SpuSetReverbModeParam
main     8001F310     16  S_SRMP_OBJ_170
main     8001F320    300  S_SRMP_OBJ_180
main     8001F44C    148  S_SRMP_OBJ_2AC
main     8001F4E0     68  S_SRMP_OBJ_340
main     8001F52C    172  S_SRMP_OBJ_38C
main     8001F5D8     36  S_SRMP_OBJ_438
main     8001F5FC    128  S_SRMP_OBJ_45C
main     8001F67C     52  S_SRMP_OBJ_4DC
main     8001F6B0   1232  _spu_setReverbAttr
main     8001FB80    156  SpuClearReverbWorkArea
main     8001FC1C    100  S_CRWA_OBJ_9C
main     8001FC80    116  S_CRWA_OBJ_100
main     8001FCF4     40  S_CRWA_OBJ_174
main     8001FD1C     32  SsUtReverbOn
main     8001FD3C     32  SsUtReverbOff
main     8001FD5C     64  SsUtSetReverbFeedback
